,Velo,SpinRate,HorzBreak,InducedVertBreak,InPlay
73,94.16,2479.0,5.98,21.57,0.20114616977681513
74,93.9,2190.0,16.36,8.61,0.33453701273677505
75,94.43,2037.0,15.55,12.56,0.30515466555001636
76,93.32,2366.0,1.29,18.94,0.2108349836209444
77,92.7,2341.0,2.38,22.79,0.19050668410822594
78,93.34,1913.0,16.33,7.03,0.35995357890683943
79,92.42,2182.0,10.7,14.98,0.2680579637563391
80,92.02,2263.0,14.03,15.01,0.2739937944875157
81,93.04,2264.0,10.22,14.53,0.2669650484557115
82,94.05,2253.0,12.93,16.38,0.26039735973555983
83,93.43,2030.0,10.97,13.58,0.28472825923973044
84,92.03,2247.0,2.57,18.07,0.2236029369867863
85,93.77,2034.0,4.07,16.63,0.24355495053042975
86,94.8,2219.0,11.8,6.13,0.34031138840630726
87,97.68,2538.0,9.88,19.23,0.22201783204872041
88,85.09,1771.0,12.72,8.1,0.348886475082731
89,88.0,1786.0,13.5,5.5,0.37238129576068163
90,92.68,2080.0,6.85,14.92,0.2618560377057789
91,96.71,2201.0,16.14,7.46,0.3420804144136414
92,92.52,2408.0,16.07,13.7,0.2841133871630271
93,97.32,2046.0,9.6,16.26,0.2587002246071278
94,95.78,2257.0,15.84,6.45,0.34796565287931763
95,94.53,2060.0,16.93,5.06,0.372554970842815
96,94.7,2544.0,6.52,15.04,0.24329423806142145
97,94.71,2181.0,3.15,16.58,0.23635796358197336
98,96.12,1626.0,2.93,13.45,0.2776101984371935
99,91.7,2275.0,19.0,7.15,0.3526632850717328
100,94.18,2060.0,4.41,15.27,0.25310187217133956
101,94.23,2278.0,6.96,20.41,0.2167862610285561
102,94.97,2303.0,3.8,18.51,0.22084120852460581
103,93.76,2356.0,9.5,16.61,0.24641130251042656
104,93.07,2450.0,3.11,16.04,0.23164506935313597
105,94.99,2541.0,13.25,17.8,0.24071889496841167
106,95.49,2400.0,7.38,14.16,0.2564947097346792
107,94.82,2538.0,15.16,9.42,0.30982783803923464
108,92.41,2288.0,12.82,16.42,0.2591725440075058
109,93.34,2113.0,11.46,15.13,0.2711238336251299
110,95.29,1836.0,3.34,14.34,0.26464844919514896
111,95.29,2582.0,10.51,20.09,0.21723075120893934
112,87.81,2174.0,13.33,13.61,0.2878172171271555
113,90.93,2437.0,1.64,25.53,0.17135420555663525
114,93.83,2067.0,6.62,17.77,0.24078009795390987
115,91.66,2232.0,1.41,20.0,0.2089871671603553
116,95.73,2462.0,14.35,14.66,0.2688703367363001
117,89.94,2310.0,18.41,16.98,0.26993308582628533
118,93.03,2480.0,8.87,17.02,0.23801770062229355
119,92.38,2132.0,14.34,9.21,0.3263663522108789
120,93.92,2294.0,9.1,19.55,0.2270977332842771
121,96.14,2134.0,12.14,14.99,0.27220282741519747
122,97.3,2393.0,10.53,16.83,0.24494455656622424
123,90.91,2069.0,16.27,9.02,0.33699392334642314
124,95.09,2434.0,10.88,18.71,0.23212406448374642
125,94.16,2199.0,20.66,10.69,0.32938222525474253
126,91.91,2135.0,15.66,8.5,0.33644885402516966
127,95.56,1989.0,18.83,9.04,0.3459942550105623
128,92.17,2224.0,8.2,16.33,0.25020706762876044
129,91.16,2146.0,14.98,17.96,0.2589720969568363
130,93.28,2074.0,13.23,9.68,0.3210813315986487
131,97.7,2477.0,6.23,16.61,0.2328795355329897
132,92.17,2266.0,3.19,19.88,0.21258222458268927
133,93.79,2544.0,4.16,16.86,0.22533856108509284
134,95.96,2534.0,14.36,10.7,0.2968668779670692
135,92.69,2189.0,8.4,9.55,0.30371509848030415
136,93.49,2398.0,3.45,10.97,0.2706222663007389
137,89.41,2183.0,14.83,12.44,0.30038618475543494
138,93.79,2261.0,5.62,19.85,0.21800447652571572
139,91.82,2016.0,14.92,8.29,0.34093914444860185
140,93.18,2226.0,14.53,8.82,0.32608037179321153
141,94.14,2474.0,12.61,16.47,0.2511335404970522
142,95.61,2225.0,12.88,15.95,0.2638767211157505
143,95.78,2204.0,15.94,10.09,0.31945583006545164
144,93.44,2077.0,1.27,16.75,0.23445751743503207
145,92.47,2091.0,5.59,16.63,0.24589621109534404
146,94.8,2339.0,15.02,17.12,0.2571113788110883
147,91.77,2472.0,-0.63,14.15,0.23519801414194352
148,94.5,2033.0,15.58,13.09,0.3010810135205086
149,96.88,2340.0,8.34,15.18,0.25315796706039895
150,92.56,1904.0,13.44,9.82,0.3276924898400199
151,99.9,2137.0,12.49,5.47,0.34937413269418577
152,89.57,2278.0,5.12,16.08,0.24325767733424203
153,91.78,2191.0,9.25,16.09,0.25593568446125836
154,93.32,2054.0,5.39,15.93,0.25136743592692945
155,96.84,2246.0,11.0,14.09,0.27160724743566816
156,92.33,2259.0,14.71,11.06,0.3070880486985791
157,93.68,2507.0,0.35,14.83,0.23112912654832085
158,96.56,2398.0,9.14,18.59,0.22941584583586278
159,95.67,2268.0,7.44,16.18,0.24659702475949702
160,94.14,2040.0,17.91,8.71,0.3445036673043192
161,94.68,1860.0,14.45,9.77,0.33206011948008296
162,92.61,1876.0,17.58,-6.33,0.49032750340665776
163,94.81,2121.0,12.85,11.06,0.30610667068176584
164,91.74,2491.0,-0.55,10.24,0.262735391351522
165,96.06,2113.0,10.62,10.88,0.30095463824489077
166,91.79,2073.0,12.12,15.01,0.27586969852503523
167,93.64,2066.0,5.87,16.29,0.24947803926815865
168,95.2,2045.0,15.77,9.69,0.32896000022028926
169,95.82,2388.0,4.86,19.2,0.21584915136676872
170,92.78,1935.0,19.37,4.62,0.39058415238129623
171,92.52,2329.0,6.2,13.44,0.26229660136020444
172,94.79,2187.0,8.15,16.87,0.24656486172896755
173,94.37,2246.0,4.62,18.51,0.22478943117125627
174,90.34,1917.0,5.51,12.14,0.28624728069959476
175,92.12,2498.0,3.91,20.77,0.20159812242037525
176,94.12,1996.0,6.45,10.33,0.2987481532841955
177,89.38,2162.0,8.89,12.15,0.2867281574877266
178,95.16,2247.0,9.64,17.1,0.2465156274019227
179,92.73,2112.0,12.97,4.68,0.3619714331099302
180,90.19,2124.0,12.23,6.36,0.34555514702279366
181,94.3,2470.0,8.19,17.72,0.2314376803266251
182,94.53,2054.0,17.8,9.3,0.33834055457734724
183,94.26,2145.0,6.28,13.85,0.26539951509859194
184,96.19,2278.0,5.91,14.3,0.25568661489584843
185,96.26,2152.0,13.38,11.82,0.299700033539745
186,97.11,2167.0,8.85,14.13,0.2683008590368505
187,96.5,2546.0,3.06,18.3,0.2124112901877578
188,94.45,2278.0,4.59,8.49,0.2971962192319199
189,88.24,2185.0,3.07,21.57,0.20531039958407202
190,90.6,2274.0,13.6,15.64,0.26820021777487896
191,91.99,2412.0,9.0,20.8,0.21550097198426207
192,95.37,2076.0,13.53,10.27,0.31612388312509526
193,96.35,2233.0,8.29,19.09,0.22942587184825222
194,92.98,2064.0,8.22,14.38,0.26999915457170987
195,94.29,2260.0,11.04,16.15,0.25681674274659994
196,96.65,2131.0,6.2,13.07,0.2706640362194076
197,94.2,2428.0,9.35,17.29,0.23866340555048124
198,91.93,2274.0,12.25,13.44,0.2808147140216788
199,92.26,2170.0,3.14,15.02,0.24852789307074072
201,98.67,2187.0,19.67,5.42,0.37075759107817596
202,90.73,2287.0,5.73,15.32,0.24948854914713137
203,95.97,2209.0,9.12,16.76,0.24863973763241837
204,93.82,2171.0,3.87,13.61,0.26005625546468436
205,94.5,2137.0,11.56,14.97,0.2712964414932116
206,93.92,2149.0,6.33,17.92,0.23624602842128042
207,91.62,2292.0,-1.53,13.78,0.24161487751332222
208,94.79,2256.0,4.19,14.94,0.24791887697426795
209,90.04,2140.0,6.21,13.17,0.27208108631292294
210,93.15,2494.0,11.3,13.64,0.2681862980728975
211,95.86,1995.0,14.76,5.95,0.35997814314549725
212,94.62,2402.0,9.35,17.95,0.2348176182666968
213,97.18,2714.0,8.99,9.06,0.2873996328289498
214,93.71,2505.0,2.79,19.69,0.20513100740492954
215,93.37,2195.0,2.65,20.35,0.2101565013228114
216,92.72,1976.0,15.64,-0.96,0.4281519412193156
217,93.99,2516.0,4.19,17.88,0.21947998349873482
218,92.91,2302.0,11.55,17.55,0.24705690461260282
219,91.68,2093.0,6.16,16.87,0.24584047499620595
220,93.47,1884.0,17.38,2.74,0.4032657127960774
221,94.43,2104.0,5.57,19.44,0.22537495269764793
222,92.78,2124.0,14.84,10.04,0.32105509053130094
223,96.41,2358.0,5.29,16.62,0.23488117263645733
224,96.98,2345.0,15.0,17.21,0.2554051630862643
225,95.29,2312.0,9.14,15.98,0.25097570257272517
226,90.33,2184.0,13.99,9.22,0.32398696796199816
227,94.68,2391.0,10.17,19.24,0.2283540208978791
228,93.59,2062.0,14.72,4.94,0.3669409866347204
229,95.74,2255.0,2.68,19.22,0.21486685960883126
230,92.1,2114.0,1.83,17.39,0.2306810653164709
231,94.73,2106.0,4.28,16.87,0.2396325589854815
232,97.66,2463.0,8.53,14.4,0.2547366193367439
233,93.21,1896.0,13.81,5.09,0.3700009009030528
234,96.37,2172.0,7.56,17.85,0.23815627262958947
235,94.81,2074.0,13.8,12.13,0.302004766911855
236,88.06,2128.0,11.04,10.09,0.31122604977683593
237,94.28,2224.0,11.17,16.96,0.2525266328204647
238,97.44,2427.0,12.29,4.26,0.3482093988459769
239,93.88,3024.0,11.38,13.43,0.25092373576961463
240,93.16,2354.0,8.02,19.23,0.22498731610839642
241,94.18,2573.0,5.16,19.04,0.2123581019056835
242,92.18,2099.0,5.01,17.84,0.23581122035325627
243,95.2,2315.0,11.05,14.42,0.2673634454047476
244,92.29,2279.0,5.54,10.35,0.28596278928912855
245,97.34,2447.0,7.82,17.31,0.2330676515054385
246,96.15,2335.0,16.9,10.99,0.30949303800178785
247,95.71,1966.0,14.75,9.33,0.33194182304275704
248,94.3,2162.0,16.84,4.23,0.3754144235605367
249,94.36,2209.0,7.05,15.3,0.2544326477066093
250,98.18,2365.0,4.7,20.34,0.20815323812377468
251,95.48,2342.0,11.02,17.82,0.24155701275922561
252,96.55,2552.0,10.01,15.86,0.2453530391168588
253,94.88,2415.0,3.8,15.99,0.23420534059733414
254,94.48,2182.0,17.58,8.8,0.3367029964413228
255,92.43,2083.0,3.33,15.54,0.24822394102002604
256,94.42,2257.0,6.86,15.19,0.2530451323623471
257,90.92,2314.0,10.5,13.03,0.2780792931019515
258,91.84,2489.0,12.45,13.48,0.2731591658369995
259,90.4,1979.0,7.02,19.52,0.23374583622623454
260,94.04,2292.0,13.71,14.71,0.27358926877514356
261,95.17,2573.0,3.15,19.73,0.20319495439528362
262,93.49,2245.0,6.7,15.42,0.2517212119604985
263,93.4,2709.0,2.54,11.02,0.25676041655889914
264,96.98,2156.0,15.67,3.45,0.37775435385688483
265,91.7,1985.0,6.88,21.07,0.2223344673195944
266,95.58,2512.0,9.0,20.47,0.21338265806068696
267,92.64,2311.0,6.5,17.39,0.23538197250027765
268,96.81,2246.0,9.0,16.31,0.24998638394130543
269,93.77,1994.0,3.47,14.47,0.25896190939495634
270,95.11,2264.0,11.82,14.02,0.27434799862250026
271,93.31,2134.0,5.91,14.58,0.25975122344730595
272,97.6,2250.0,14.17,14.02,0.2803340548183321
273,89.98,2227.0,8.5,10.29,0.2976502386257882
274,88.43,2170.0,15.2,12.37,0.30290765829382843
275,99.44,2290.0,20.84,6.38,0.36118512728153496
276,93.78,2204.0,11.44,12.98,0.28405163225134034
277,92.52,2038.0,6.31,18.71,0.2349069868508658
278,95.22,2372.0,4.24,18.43,0.2201325416811621
279,92.55,2078.0,8.79,16.39,0.25623978307676054
280,90.43,2212.0,9.54,4.86,0.34649440536713905
281,92.44,2219.0,3.87,4.98,0.3270854703666277
282,92.09,2283.0,3.96,17.89,0.22693302530159865
283,95.34,2522.0,6.91,15.24,0.2433846991615557
284,87.78,2285.0,9.94,18.68,0.23744680875390903
285,99.0,2152.0,8.51,18.53,0.23555318276951182
286,95.23,2530.0,8.02,12.03,0.2694480014371312
287,92.87,2257.0,1.41,16.39,0.2315315423807347
288,96.48,2266.0,13.85,12.62,0.2902082970855347
289,98.05,2114.0,17.05,10.36,0.323174254198666
290,95.81,2299.0,13.23,14.33,0.27426048115547436
291,90.35,2217.0,13.37,15.77,0.26876165489356213
292,92.07,2507.0,7.09,4.23,0.3315566254859013
293,93.31,2235.0,11.97,14.05,0.2762718875560826
294,92.86,2107.0,8.93,15.16,0.26453682073267387
295,95.03,2337.0,6.5,19.06,0.22245149993611332
296,96.51,2168.0,14.63,15.04,0.27719076211622445
297,94.86,2320.0,6.62,17.36,0.2348284303221721
298,96.19,2355.0,0.95,19.84,0.20384936299433826
299,94.02,2218.0,14.85,15.01,0.2771212897343565
300,94.34,2054.0,2.23,6.77,0.3131360474659104
301,94.41,2241.0,9.36,17.47,0.24365559534465056
302,98.67,2459.0,15.59,12.4,0.2886525998717747
303,98.06,2462.0,9.97,13.58,0.2644307296921781
305,95.38,2275.0,8.26,15.53,0.25321780658491666
306,90.05,2060.0,16.25,7.45,0.3512431910668522
307,91.31,2407.0,11.08,16.78,0.24832073805873026
308,96.55,2678.0,14.19,6.25,0.32699908430336183
309,92.63,2172.0,9.28,16.11,0.2562274873047515
310,89.84,2008.0,12.99,15.56,0.2771595500802626
311,92.99,2130.0,-0.83,16.24,0.231246388581405
312,92.51,2165.0,11.48,8.29,0.3241627528361143
313,95.68,2544.0,9.06,18.7,0.22406481574710538
314,94.35,1969.0,2.96,19.66,0.22208204346732385
315,92.96,2485.0,4.09,18.73,0.21501532780543242
316,93.4,2176.0,17.37,7.29,0.3498035612423549
317,92.11,2100.0,6.88,14.18,0.2669409140116541
318,98.44,2244.0,20.98,5.3,0.3736494978087092
319,94.56,2305.0,5.94,18.29,0.22744545740387362
320,89.67,1906.0,16.88,-1.44,0.44140581359428765
321,95.15,2262.0,3.02,18.82,0.21822215483874693
322,93.83,2061.0,9.46,10.7,0.30198517991202123
323,95.36,2322.0,1.28,21.28,0.19695868867557134
324,95.92,2597.0,8.96,18.48,0.2235175032060409
325,91.56,2268.0,15.36,14.35,0.282698983833342
326,86.26,1856.0,12.26,8.51,0.33989275114113177
327,93.5,2222.0,17.0,8.95,0.3324387784313788
328,94.29,1960.0,7.3,14.9,0.26690142480799295
329,94.64,3242.0,18.53,0.83,0.36462363592778546
330,94.93,2212.0,13.75,15.44,0.2707435097858051
331,95.75,2088.0,19.56,10.76,0.32933079175958085
332,99.34,2020.0,14.48,6.05,0.3556497822896725
333,95.58,2088.0,8.19,19.08,0.23426637241816006
334,93.72,2414.0,16.65,14.26,0.2806836569542874
335,97.87,2629.0,6.2,18.78,0.2135012963002467
336,92.67,2281.0,0.21,22.1,0.19173985421298625
337,96.8,2157.0,17.34,10.97,0.31773834417857294
338,94.76,2111.0,15.19,12.37,0.3026419184132331
339,93.17,2299.0,3.97,16.03,0.23878845447070157
340,92.83,2043.0,7.57,14.75,0.26629579501228245
341,94.64,2247.0,14.7,14.95,0.2758691284884519
342,92.97,1903.0,8.28,11.92,0.29526842078732446
343,98.95,2306.0,16.01,11.81,0.30027734397206923
344,91.4,2262.0,12.37,19.1,0.24006220403528047
345,93.96,1999.0,11.29,11.22,0.3054065621037979
346,91.25,2297.0,8.02,17.22,0.24126719868816474
347,90.41,2293.0,5.93,16.36,0.24251392353389833
348,93.83,2560.0,6.35,17.88,0.22320582109750248
349,93.42,2290.0,5.8,18.35,0.2275713790038366
350,94.78,2213.0,8.23,18.46,0.23476647757369842
351,95.42,2496.0,13.74,14.54,0.26702925383517706
352,92.59,2175.0,15.75,13.0,0.29756396820059045
353,95.39,2231.0,12.7,14.61,0.2733410387076042
354,94.46,2308.0,13.43,17.31,0.25282242485957834
355,96.37,2511.0,8.58,18.2,0.2271012460563794
356,89.99,2053.0,12.05,5.03,0.35969270132740405
357,91.33,2313.0,6.49,15.63,0.2480970254281269
358,96.57,2549.0,9.88,17.62,0.23286374282955224
359,93.5,2264.0,13.08,8.36,0.3239447716001372
360,97.13,2234.0,12.56,16.34,0.259273989869803
361,92.57,2355.0,2.25,18.25,0.21806913196527977
362,95.24,2203.0,11.43,15.21,0.2664768648920578
363,95.66,1982.0,3.45,11.01,0.2848551281507587
364,95.81,2328.0,3.32,14.95,0.24284135416608588
365,94.05,2070.0,4.41,14.6,0.25767790399781715
366,95.24,2345.0,11.29,14.97,0.2628058471279587
367,88.52,1897.0,11.63,5.71,0.35963472755118375
368,96.13,2225.0,9.06,16.72,0.24816653169920533
369,95.99,2318.0,8.57,12.65,0.27367048796009485
370,94.07,2302.0,11.7,13.1,0.28007247609937697
371,96.77,2344.0,11.34,11.66,0.2876747283530917
372,91.98,2100.0,2.9,13.32,0.2628472786046444
373,97.23,2033.0,7.35,18.46,0.23774760658698207
374,92.59,2068.0,15.68,4.28,0.37607933810218286
375,93.18,2317.0,13.81,15.7,0.26580435535735214
376,95.23,2211.0,18.39,5.99,0.362129055450153
377,96.01,2434.0,7.88,17.44,0.2332019271006249
378,94.61,2026.0,11.91,15.69,0.27078760002261937
379,89.67,2051.0,17.08,12.6,0.3106400161074329
380,94.77,2509.0,11.16,15.5,0.2529739315771678
381,92.13,2120.0,17.21,10.09,0.3281428033291909
382,91.98,2177.0,5.02,19.38,0.22294094567176473
383,91.62,2091.0,-0.82,17.83,0.2223079432940675
384,94.46,2399.0,2.5,18.81,0.2130433734905261
385,91.82,2263.0,8.88,19.23,0.23044007940222355
386,93.64,2153.0,8.18,17.83,0.2414152814211862
387,94.27,2258.0,5.29,16.28,0.2413187162570004
388,93.25,2524.0,4.97,19.36,0.21168006398016043
389,95.53,2099.0,12.29,15.01,0.27396503022082624
390,95.01,2175.0,14.94,11.72,0.3045933693240875
391,92.52,2183.0,5.19,19.86,0.21980479369419023
392,97.1,2063.0,6.75,16.18,0.2513923446333979
393,95.45,2237.0,9.16,19.94,0.22595537864735032
394,91.49,2320.0,-1.89,18.38,0.2091880891155011
395,94.23,2025.0,10.7,15.77,0.26712280582666365
396,90.74,2171.0,15.11,12.22,0.302899258335882
397,93.21,1857.0,5.8,15.18,0.26492209018225255
398,94.78,1845.0,13.12,-2.51,0.43926807657111333
399,93.66,2228.0,13.55,12.24,0.29492821235664735
400,95.07,2203.0,17.74,10.66,0.32037266035788736
401,91.11,2068.0,11.48,12.26,0.2960386939997648
402,93.46,2338.0,12.02,16.27,0.25604635233785766
403,92.98,2039.0,15.47,8.17,0.34221078403018745
404,93.4,2164.0,3.23,18.08,0.22732167492051442
405,98.47,2120.0,17.99,5.64,0.36643129730145746
406,97.76,2518.0,11.14,17.25,0.2391353662290052
407,95.58,2659.0,7.56,19.85,0.20955799936567057
408,97.04,2268.0,6.7,18.19,0.23032184346302279
409,95.71,2433.0,16.76,11.04,0.30501590061652734
410,93.77,2547.0,3.6,20.56,0.2002611161913338
411,92.92,2410.0,4.99,19.43,0.2149032716521824
412,94.9,2235.0,11.05,16.3,0.25640471365025136
413,90.19,2095.0,8.94,16.19,0.2583496502419284
414,91.59,2348.0,13.46,15.96,0.2624184016444215
415,91.03,2196.0,13.24,7.74,0.33345961189574513
416,93.4,2417.0,2.18,18.03,0.2171299022411715
417,99.22,2463.0,12.88,17.29,0.244549441055055
418,95.92,2381.0,7.27,15.67,0.24584247106681803
419,90.61,2080.0,15.1,9.24,0.3312500502403062
420,93.58,1986.0,19.2,13.56,0.309927922883148
421,91.71,2079.0,14.89,11.94,0.30774173559342544
422,94.17,2118.0,6.39,13.39,0.2701555968796733
423,96.08,2059.0,14.93,10.09,0.3221527446768895
424,96.07,2605.0,10.54,17.33,0.23478595459907706
425,98.52,2509.0,6.16,19.92,0.20960877743591091
426,95.11,2252.0,18.75,10.45,0.32314395033451426
427,94.56,2546.0,-0.02,20.73,0.19126871148440316
428,92.27,2109.0,10.2,18.7,0.24231178522369942
429,97.11,2475.0,5.51,19.45,0.2126195788426749
430,96.81,2388.0,16.78,8.22,0.3298085609056622
431,95.63,2362.0,5.09,16.33,0.23652462260978468
432,95.26,2070.0,13.04,15.24,0.27541099757269805
433,95.57,2288.0,1.99,20.91,0.2016990021659031
434,88.02,1742.0,14.57,10.75,0.3317151770305266
435,97.57,2444.0,4.39,17.02,0.22678391632860292
436,94.27,2363.0,4.56,19.21,0.2163692520814515
437,97.25,2238.0,8.58,14.51,0.2621487656854019
438,98.68,2424.0,3.3,19.32,0.2095055112092563
439,87.42,1852.0,15.43,11.5,0.32375510664809964
440,95.47,2588.0,10.44,17.7,0.2327680827142521
441,94.84,2400.0,6.21,15.41,0.24474418146225813
442,100.77,1822.0,13.36,4.85,0.37055420484981494
443,93.69,2411.0,10.39,16.43,0.24808993263018733
444,92.93,2083.0,18.29,14.22,0.29843587591013226
445,94.79,2405.0,8.99,18.35,0.23104831538710555
446,95.35,1981.0,4.83,16.07,0.2507300336166438
447,92.29,2264.0,3.64,20.32,0.21081643734893687
448,93.63,2166.0,8.0,17.48,0.24298961361243318
449,92.5,2090.0,10.29,18.28,0.24607195729410078
450,90.59,2008.0,14.91,9.02,0.33550229966257805
451,94.46,2283.0,10.57,15.88,0.2566987898485224
452,94.08,2394.0,6.49,17.37,0.23226813518822598
453,99.03,2530.0,5.33,18.27,0.21751079393809153
454,94.11,2643.0,12.24,17.73,0.2356040474746958
455,94.78,2223.0,2.02,18.65,0.21835416096436533
456,93.51,2161.0,14.39,9.89,0.3191877343351569
457,93.88,2523.0,5.21,17.21,0.2261413039401384
458,94.24,2225.0,7.09,15.95,0.2493322444963914
459,97.37,2201.0,11.09,13.5,0.27780428198749346
460,94.15,2019.0,15.74,3.22,0.38728431440014865
461,95.24,2131.0,9.31,16.63,0.25302032433343047
462,94.43,1960.0,15.16,11.23,0.31798064337229015
463,94.57,2093.0,14.23,14.47,0.28402703918559385
464,95.85,2689.0,3.36,16.83,0.2183733850904982
465,95.57,2210.0,11.56,17.14,0.2522536305690041
466,95.2,1964.0,4.32,14.98,0.257976985211347
467,96.32,2363.0,2.93,10.31,0.27444465587071704
468,95.15,2229.0,17.3,10.06,0.3230012637383984
469,93.36,2163.0,7.93,17.94,0.23978390505052014
470,93.26,2041.0,16.24,6.35,0.3602755453782899
471,92.79,2430.0,11.91,12.12,0.2839691815041773
472,90.16,2071.0,16.76,12.04,0.3133182634395082
473,90.74,2350.0,13.08,17.56,0.2499936680230825
474,92.08,2321.0,6.31,15.59,0.2473864068082568
475,92.17,2233.0,16.35,12.54,0.30089871610011587
476,92.46,2148.0,14.33,15.66,0.27390152564207415
477,87.45,1895.0,11.61,6.4,0.3540571289005776
478,91.65,2465.0,13.71,13.99,0.27363752169420025
479,92.25,1652.0,8.34,12.01,0.3047080541192499
480,91.39,1993.0,2.14,17.17,0.23718121944894652
481,91.13,1852.0,11.51,7.63,0.3432665636140577
482,92.31,2342.0,14.26,5.9,0.34580518010373673
483,90.02,2001.0,19.15,-4.54,0.4740288809080901
484,95.27,2120.0,19.46,3.7,0.3900313254725136
485,90.58,2606.0,-1.44,20.42,0.18957618018848563
486,93.9,2201.0,15.19,13.56,0.29002411771848935
487,93.03,2170.0,8.13,15.78,0.2555775418979327
488,93.49,2337.0,11.62,14.35,0.26925415935634545
489,98.06,2307.0,8.42,18.59,0.23014337823305442
490,94.69,2249.0,11.07,7.68,0.32376434187883457
491,95.43,2328.0,17.03,7.01,0.3439717083746315
492,98.42,2505.0,4.56,16.85,0.22608034248925873
493,95.27,2234.0,12.97,7.66,0.32999242911641163
494,96.62,2277.0,14.01,11.13,0.3020781461078838
495,90.44,2275.0,14.91,5.89,0.3515084712281508
496,95.24,2581.0,7.63,18.19,0.22303652932901963
497,92.24,2292.0,15.39,17.32,0.2591954703502431
498,90.93,2288.0,6.73,10.53,0.28805652451800373
